abbr,sentence_a,sentence_b,sentence_c
AAA,OBJECTIVE: abdominal aortic aneurysm  represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: abdominal aortic aneurysm ( AAA ) represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: abdominal aortic aneurysm ( AAA ) represents a chronic degenerative condition associated with atherosclerosis.
AAA,"METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm  between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm ( AAA ) between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm ( AAA ) between April 1, 2003 and March 31, 2004."
AAA,Screening for abdominal aortic aneurysm  reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for abdominal aortic aneurysm ( AAA ) reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for abdominal aortic aneurysm ( AAA ) reduced mortality caused by AAA in Danish men 64 to 73 years of age.
AAA,"abdominal aortic aneurysm  is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","abdominal aortic aneurysm ( AAA ) is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","abdominal aortic aneurysm ( AAA ) is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules."
AAA,"OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm , to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm ( AAA ), to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm ( AAA ), to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition."
AAA,BACKGROUND: A number of the research into the pathogenesis of the abdominal aortic aneurysm  have focused on the alteration of gene expression.,BACKGROUND: A number of the research into the pathogenesis of the abdominal aortic aneurysm ( AAA ) have focused on the alteration of gene expression.,BACKGROUND: A number of the research into the pathogenesis of the abdominal aortic aneurysm ( AAA ) have focused on the alteration of gene expression.
AAA,RESULTS: Hundred and fifty-two out of 178 patients used OIR; 155 patients had abdominal aortic aneurysm  repair.,RESULTS: Hundred and fifty-two out of 178 patients used OIR; 155 patients had abdominal aortic aneurysm ( AAA ) repair.,RESULTS: Hundred and fifty-two out of 178 patients used OIR; 155 patients had abdominal aortic aneurysm ( AAA ) repair.
AAA,PURPOSE: To use an in vitro flow model to investigate the flow patterns in a bifurcated stent-graft for abdominal aortic aneurysm  repair.,PURPOSE: To use an in vitro flow model to investigate the flow patterns in a bifurcated stent-graft for abdominal aortic aneurysm ( AAA ) repair.,PURPOSE: To use an in vitro flow model to investigate the flow patterns in a bifurcated stent-graft for abdominal aortic aneurysm ( AAA ) repair.
AAA,BACKGROUND: abdominal aortic aneurysm  causes about 2 per cent of all deaths in men over the age of 65 years.,BACKGROUND: abdominal aortic aneurysm ( AAA ) causes about 2 per cent of all deaths in men over the age of 65 years.,BACKGROUND: abdominal aortic aneurysm ( AAA ) causes about 2 per cent of all deaths in men over the age of 65 years.
AAA,"BACKGROUND: The aim of this study was to investigate trends in population-based mortality, hospital admission and case fatality rates for abdominal aortic aneurysm  from 1979 to 1999.","BACKGROUND: The aim of this study was to investigate trends in population-based mortality, hospital admission and case fatality rates for abdominal aortic aneurysm ( AAA ) from 1979 to 1999.","BACKGROUND: The aim of this study was to investigate trends in population-based mortality, hospital admission and case fatality rates for abdominal aortic aneurysm ( AAA ) from 1979 to 1999."
ABG,INTRODUCTION: Determination of arterial blood gas  values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of arterial blood gas ( ABG ) values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of arterial blood gas ( ABG ) values is essential in the evaluation of patients with TCA poisoning.
ABG,"MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas  levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas ( ABG ) levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas ( ABG ) levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared."
ABG,At that time arterial blood gas  analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time arterial blood gas ( ABG ) analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time arterial blood gas ( ABG ) analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.
ABG,"Then the arterial blood gas  sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the arterial blood gas ( ABG ) sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the arterial blood gas ( ABG ) sample was obtained, an intravenous infusion of methylene blue and vitamin C followed."
ABG,"All subjects also underwent blood pressure, simple spirometric, and arterial blood gas  measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.","All subjects also underwent blood pressure, simple spirometric, and arterial blood gas ( ABG ) measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.","All subjects also underwent blood pressure, simple spirometric, and arterial blood gas ( ABG ) measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment."
ABG,Oxygen therapy was commonly not guided by arterial blood gas  analysis.,Oxygen therapy was commonly not guided by arterial blood gas ( ABG ) analysis.,Oxygen therapy was commonly not guided by arterial blood gas ( ABG ) analysis.
ABG,MEASUREMENTS AND RESULTS: Measurements of arterial blood gas  tensions were obtained before the start of each tracheostomy and every 3 min during the procedure.,MEASUREMENTS AND RESULTS: Measurements of arterial blood gas ( ABG ) tensions were obtained before the start of each tracheostomy and every 3 min during the procedure.,MEASUREMENTS AND RESULTS: Measurements of arterial blood gas ( ABG ) tensions were obtained before the start of each tracheostomy and every 3 min during the procedure.
ABG,At my institution we have used CIS data to study changes in patients' code status and to evaluate a protocol for arterial blood gas  testing.,At my institution we have used CIS data to study changes in patients' code status and to evaluate a protocol for arterial blood gas ( ABG ) testing.,At my institution we have used CIS data to study changes in patients' code status and to evaluate a protocol for arterial blood gas ( ABG ) testing.
ABG,"After anesthesia, the trachea was extubated when intravenous naloxone, which was titrated in separate 50- micro g doses, established an acceptable level of consciousness and arterial blood gas  status under spontaneous respiration; this was followed by continuous infusion started at the rate of the sum of the bolus doses per hour.","After anesthesia, the trachea was extubated when intravenous naloxone, which was titrated in separate 50- micro g doses, established an acceptable level of consciousness and arterial blood gas ( ABG ) status under spontaneous respiration; this was followed by continuous infusion started at the rate of the sum of the bolus doses per hour.","After anesthesia, the trachea was extubated when intravenous naloxone, which was titrated in separate 50- micro g doses, established an acceptable level of consciousness and arterial blood gas ( ABG ) status under spontaneous respiration; this was followed by continuous infusion started at the rate of the sum of the bolus doses per hour."
ABG,"RESULTS: Areas of significant improvement from 1996-1997 to 2000 include reduction in the use of theophylline (10.1% vs 3.1%, p<0.0001), increased use of systemic steroid prescriptions at discharge (57.7% vs 77.2%, p<0.0001), decreased use of arterial blood gas  analyses as part of the initial patient assessment (10.2% vs 4.5%, p = 0.02) and to document improvement after treatments (18.8% vs 8.9%, p = 0.03) and increased use of pulse oximetry as part of the initial patient assessment (95.1% vs 98.1%, p = 0.05).","RESULTS: Areas of significant improvement from 1996-1997 to 2000 include reduction in the use of theophylline (10.1% vs 3.1%, p<0.0001), increased use of systemic steroid prescriptions at discharge (57.7% vs 77.2%, p<0.0001), decreased use of arterial blood gas ( ABG ) analyses as part of the initial patient assessment (10.2% vs 4.5%, p = 0.02) and to document improvement after treatments (18.8% vs 8.9%, p = 0.03) and increased use of pulse oximetry as part of the initial patient assessment (95.1% vs 98.1%, p = 0.05).","RESULTS: Areas of significant improvement from 1996-1997 to 2000 include reduction in the use of theophylline (10.1% vs 3.1%, p<0.0001), increased use of systemic steroid prescriptions at discharge (57.7% vs 77.2%, p<0.0001), decreased use of arterial blood gas ( ABG ) analyses as part of the initial patient assessment (10.2% vs 4.5%, p = 0.02) and to document improvement after treatments (18.8% vs 8.9%, p = 0.03) and increased use of pulse oximetry as part of the initial patient assessment (95.1% vs 98.1%, p = 0.05)."
ABR,Auditory brainstem response  thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,Auditory brainstem response ( ABR ) thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,Auditory brainstem response ( ABR ) thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.
ABR,"The Auditory brainstem response , a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The Auditory brainstem response ( ABR ), a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The Auditory brainstem response ( ABR ), a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio)."
ABR,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing Auditory brainstem response .,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing Auditory brainstem response ( ABR ).,Most ENT physicians who are not capable of behavioral testing tend to evaluate hearing of infants only from testing Auditory brainstem response ( ABR ).
ABR,Otoacoustic emissions and Auditory brainstem response  suggested the presence of auditory neuropathy in affected individuals.,Otoacoustic emissions and Auditory brainstem response ( ABR ) suggested the presence of auditory neuropathy in affected individuals.,Otoacoustic emissions and Auditory brainstem response ( ABR ) suggested the presence of auditory neuropathy in affected individuals.
ABR,"CONCLUSIONS: Based on the Auditory brainstem response  results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).","CONCLUSIONS: Based on the Auditory brainstem response ( ABR ) results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%).","CONCLUSIONS: Based on the Auditory brainstem response ( ABR ) results obtained in this study, the incidence of deafness in children whose mothers had rubella during pregnancy is high (29.5%), and deafness is profound in most cases (80%)."
ABR,"To test the hearing impairment, frequency-specific Auditory brainstem response  measurements were performed at different ages in two genetic backgrounds (C57Bl/6J and CBA/Ca), but no differences between Dfna5-/- and Dfna5+/+ mice could be demonstrated.","To test the hearing impairment, frequency-specific Auditory brainstem response ( ABR ) measurements were performed at different ages in two genetic backgrounds (C57Bl/6J and CBA/Ca), but no differences between Dfna5-/- and Dfna5+/+ mice could be demonstrated.","To test the hearing impairment, frequency-specific Auditory brainstem response ( ABR ) measurements were performed at different ages in two genetic backgrounds (C57Bl/6J and CBA/Ca), but no differences between Dfna5-/- and Dfna5+/+ mice could be demonstrated."
ABR,We investigated the effect of aminoglycoside ototoxicity in GLAST knockout mice using the recorded Auditory brainstem response  and number of hair cells in the cochlea.,We investigated the effect of aminoglycoside ototoxicity in GLAST knockout mice using the recorded Auditory brainstem response ( ABR ) and number of hair cells in the cochlea.,We investigated the effect of aminoglycoside ototoxicity in GLAST knockout mice using the recorded Auditory brainstem response ( ABR ) and number of hair cells in the cochlea.
