ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
ACL,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic anterior cruciate ligament reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic ACL reconstruction.,This study reports the initial clinical results of 540 degrees of graft rotation or free tibial bone block to address graft tunnel mismatch in endoscopic American cutaneous leishmaniasis reconstruction.,reconstruction,anterior cruciate ligament,American cutaneous leishmaniasis
ACL,The press-fit fixation technique has become an alternative fixation method in anterior cruciate ligament reconstruction.,The press-fit fixation technique has become an alternative fixation method in ACL reconstruction.,The press-fit fixation technique has become an alternative fixation method in American cutaneous leishmaniasis reconstruction.,reconstruction,anterior cruciate ligament,American cutaneous leishmaniasis
ADL,"Urinary incontinence and falls are serious problem among elderly people, because of restriction of the Activities of Daily Living and Quality of Life.","Urinary incontinence and falls are serious problem among elderly people, because of restriction of the ADL and Quality of Life.","Urinary incontinence and falls are serious problem among elderly people, because of restriction of the activities of daily life and Quality of Life.",Quality,Activities of Daily Living,activities of daily life
ADL,"Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of Activities of Daily Living, and early discharge from hospital.","Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of ADL, and early discharge from hospital.","Postoperative control of the amount of sputum, and recovery and maintenance of ventilatory gas exchange become possible by early respiratory rehabilitation, leading to prevention of complications, recovery of activities of daily life, and early discharge from hospital.",discharge,Activities of Daily Living,activities of daily life
AFB,His chest X-ray film showed cavitation and direct microscopy of sputum revealed positive acid-fast bacilli therefore.,His chest X-ray film showed cavitation and direct microscopy of sputum revealed positive AFB therefore.,His chest X-ray film showed cavitation and direct microscopy of sputum revealed positive aflatoxin B1 therefore.,therefore,acid-fast bacilli,aflatoxin B1
AFB,METHODS: A young lean man was simulated to act as a TB patient and was provided with a chest X-ray suggestive of TB and two acid-fast bacilli positive sputum reports.,METHODS: A young lean man was simulated to act as a TB patient and was provided with a chest X-ray suggestive of TB and two AFB positive sputum reports.,METHODS: A young lean man was simulated to act as a TB patient and was provided with a chest X-ray suggestive of TB and two aflatoxin B1 positive sputum reports.,positive,acid-fast bacilli,aflatoxin B1
AGA,OBJECTIVE: To test the hypothesis that SGA infants have lower bone SOS than appropriate for gestational age infants and.,OBJECTIVE: To test the hypothesis that SGA infants have lower bone SOS than AGA infants and.,OBJECTIVE: To test the hypothesis that SGA infants have lower bone SOS than antigliadin antibodies infants and.,and,appropriate for gestational age,antigliadin antibodies
AGA,"STUDY DESIGN: We studied the effect of catecholamines, by local injection of isoproterenol, and the effect of insulin, using two-step infusion at 8 and 40 mU/m2/min, on the in situ lipolysis of the subcutaneous abdominal adipose tissue of 23 subjects born SGA and 23 born appropriate for gestational age, using the microdialysis technique.","STUDY DESIGN: We studied the effect of catecholamines, by local injection of isoproterenol, and the effect of insulin, using two-step infusion at 8 and 40 mU/m2/min, on the in situ lipolysis of the subcutaneous abdominal adipose tissue of 23 subjects born SGA and 23 born AGA, using the microdialysis technique.","STUDY DESIGN: We studied the effect of catecholamines, by local injection of isoproterenol, and the effect of insulin, using two-step infusion at 8 and 40 mU/m2/min, on the in situ lipolysis of the subcutaneous abdominal adipose tissue of 23 subjects born SGA and 23 born antigliadin antibodies, using the microdialysis technique.",microdialysis,appropriate for gestational age,antigliadin antibodies
AICD,Termination of an immune response requires elimination of activated T lymphocytes by activation-induced cell death and.,Termination of an immune response requires elimination of activated T lymphocytes by AICD and.,Termination of an immune response requires elimination of activated T lymphocytes by automatic implantable cardioverter defibrillator and.,and,activation-induced cell death,automatic implantable cardioverter defibrillator
AICD,Stimulation of MBP-reactive TCR transgenic T cells with a superagonist peptide led to extensive activation-induced cell death through Fas signaling.,Stimulation of MBP-reactive TCR transgenic T cells with a superagonist peptide led to extensive AICD through Fas signaling.,Stimulation of MBP-reactive TCR transgenic T cells with a superagonist peptide led to extensive automatic implantable cardioverter defibrillator through Fas signaling.,through,activation-induced cell death,automatic implantable cardioverter defibrillator
