ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
AAA,OBJECTIVE: abdominal aortic aneurysm represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: AAA represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: aromatic amino acids represents a chronic degenerative condition associated with atherosclerosis.,represents,,
AAA,"METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an AAA between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an aromatic amino acids between April 1, 2003 and March 31, 2004.",between,,
AAA,Screening for abdominal aortic aneurysm reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for AAA reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for aromatic amino acids reduced mortality caused by AAA in Danish men 64 to 73 years of age.,reduced,,
AAA,"abdominal aortic aneurysm is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","AAA is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","aromatic amino acids is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.",is,,
AAA,"OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured AAA, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured aromatic amino acids, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.",identify,,
ABG,INTRODUCTION: Determination of arterial blood gas values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of ABG values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of air-bone gap values is essential in the evaluation of patients with TCA poisoning.,values,,
ABG,"MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in ABG levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in air-bone gap levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.",levels,,
ABG,At that time arterial blood gas analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time ABG analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time air-bone gap analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,analysis,,
ABG,"Then the arterial blood gas sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the ABG sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the air-bone gap sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.",sample,,
ABG,"All subjects also underwent blood pressure, simple spirometric, and arterial blood gas measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.","All subjects also underwent blood pressure, simple spirometric, and ABG measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.","All subjects also underwent blood pressure, simple spirometric, and air-bone gap measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.",measurements,,
