abbr,sentence_a,sentence_b,sentence_c
AAA,OBJECTIVE: abdominal aortic aneurysm ( AAA ) represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: abdominal aortic aneurysm ( AAA ) represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: abdominal aortic aneurysm ( AAA ) represents a chronic degenerative condition associated with atherosclerosis.
AAA,"METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm ( AAA ) between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm ( AAA ) between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm ( AAA ) between April 1, 2003 and March 31, 2004."
AAA,Screening for abdominal aortic aneurysm ( AAA ) reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for abdominal aortic aneurysm ( AAA ) reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for abdominal aortic aneurysm ( AAA ) reduced mortality caused by AAA in Danish men 64 to 73 years of age.
AAA,"abdominal aortic aneurysm ( AAA ) is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","abdominal aortic aneurysm ( AAA ) is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","abdominal aortic aneurysm ( AAA ) is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules."
AAA,"OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm ( AAA ), to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm ( AAA ), to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm ( AAA ), to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition."
AAA,BACKGROUND: A number of the research into the pathogenesis of the abdominal aortic aneurysm ( AAA ) have focused on the alteration of gene expression.,BACKGROUND: A number of the research into the pathogenesis of the abdominal aortic aneurysm ( AAA ) have focused on the alteration of gene expression.,BACKGROUND: A number of the research into the pathogenesis of the abdominal aortic aneurysm ( AAA ) have focused on the alteration of gene expression.
AAA,RESULTS: Hundred and fifty-two out of 178 patients used OIR; 155 patients had abdominal aortic aneurysm ( AAA ) repair.,RESULTS: Hundred and fifty-two out of 178 patients used OIR; 155 patients had abdominal aortic aneurysm ( AAA ) repair.,RESULTS: Hundred and fifty-two out of 178 patients used OIR; 155 patients had abdominal aortic aneurysm ( AAA ) repair.
AAA,PURPOSE: To use an in vitro flow model to investigate the flow patterns in a bifurcated stent-graft for abdominal aortic aneurysm ( AAA ) repair.,PURPOSE: To use an in vitro flow model to investigate the flow patterns in a bifurcated stent-graft for abdominal aortic aneurysm ( AAA ) repair.,PURPOSE: To use an in vitro flow model to investigate the flow patterns in a bifurcated stent-graft for abdominal aortic aneurysm ( AAA ) repair.
AAA,BACKGROUND: abdominal aortic aneurysm ( AAA ) causes about 2 per cent of all deaths in men over the age of 65 years.,BACKGROUND: abdominal aortic aneurysm ( AAA ) causes about 2 per cent of all deaths in men over the age of 65 years.,BACKGROUND: abdominal aortic aneurysm ( AAA ) causes about 2 per cent of all deaths in men over the age of 65 years.
AAA,"BACKGROUND: The aim of this study was to investigate trends in population-based mortality, hospital admission and case fatality rates for abdominal aortic aneurysm ( AAA ) from 1979 to 1999.","BACKGROUND: The aim of this study was to investigate trends in population-based mortality, hospital admission and case fatality rates for abdominal aortic aneurysm ( AAA ) from 1979 to 1999.","BACKGROUND: The aim of this study was to investigate trends in population-based mortality, hospital admission and case fatality rates for abdominal aortic aneurysm ( AAA ) from 1979 to 1999."
AAA,BACKGROUND: Conventional management of abdominal aortic aneurysm ( AAA ) is by open repair and is associated with a mortality rate of 2-6 per cent.,BACKGROUND: Conventional management of abdominal aortic aneurysm ( AAA ) is by open repair and is associated with a mortality rate of 2-6 per cent.,BACKGROUND: Conventional management of abdominal aortic aneurysm ( AAA ) is by open repair and is associated with a mortality rate of 2-6 per cent.
AAA,"In two cases of abdominal aortic aneurysm ( AAA ) with urinary diversion after radical cystectomy, surgical aneurysm repair was successfully performed.","In two cases of abdominal aortic aneurysm ( AAA ) with urinary diversion after radical cystectomy, surgical aneurysm repair was successfully performed.","In two cases of abdominal aortic aneurysm ( AAA ) with urinary diversion after radical cystectomy, surgical aneurysm repair was successfully performed."
AAA,BACKGROUND: Complications due to undetectable coronary artery disease are the major causes of morbidity and mortality in the surgical treatment of abdominal aortic aneurysm ( AAA ).,BACKGROUND: Complications due to undetectable coronary artery disease are the major causes of morbidity and mortality in the surgical treatment of abdominal aortic aneurysm ( AAA ).,BACKGROUND: Complications due to undetectable coronary artery disease are the major causes of morbidity and mortality in the surgical treatment of abdominal aortic aneurysm ( AAA ).
AAA,OBJECTIVES: Several studies have shown that an increase in abdominal aortic aneurysm ( AAA ) growth rate occurs when the diameter reaches 40 to 50 mm.,OBJECTIVES: Several studies have shown that an increase in abdominal aortic aneurysm ( AAA ) growth rate occurs when the diameter reaches 40 to 50 mm.,OBJECTIVES: Several studies have shown that an increase in abdominal aortic aneurysm ( AAA ) growth rate occurs when the diameter reaches 40 to 50 mm.
ABG,INTRODUCTION: Determination of arterial blood gas ( ABG ) values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of arterial blood gas ( ABG ) values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of arterial blood gas ( ABG ) values is essential in the evaluation of patients with TCA poisoning.
ABG,"MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas ( ABG ) levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas ( ABG ) levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas ( ABG ) levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared."
ABG,At that time arterial blood gas ( ABG ) analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time arterial blood gas ( ABG ) analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time arterial blood gas ( ABG ) analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.
ABG,"Then the arterial blood gas ( ABG ) sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the arterial blood gas ( ABG ) sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the arterial blood gas ( ABG ) sample was obtained, an intravenous infusion of methylene blue and vitamin C followed."
