ABBR,Sentence_A,Sentence_B,Sentence_C,Sentence_A_Prime,Sentence_B_Prime,Sentence_C_Prime
AAA,OBJECTIVE: abdominal aortic aneurysm represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: AAA represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: aromatic amino acids represents a chronic degenerative condition associated with atherosclerosis.,"The plasma level of BCAA decreased evidently at 2 PBH and increased obviously at 12 PBH, while the plasma levels of aromatic amino acids increased evidently at 12 and 24 PBHs.","The plasma level of BCAA decreased evidently at 2 PBH and increased obviously at 12 PBH, while the plasma levels of AAA increased evidently at 12 and 24 PBHs.","The plasma level of BCAA decreased evidently at 2 PBH and increased obviously at 12 PBH, while the plasma levels of abdominal aortic aneurysm increased evidently at 12 and 24 PBHs."
AAA,"METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an AAA between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an aromatic amino acids between April 1, 2003 and March 31, 2004.","After each ALSS treatment, the liver function of these patients was greatly improved, the serum endotoxin and HBV-DNA concentrations were significantly decreased, and the serum concentration of aromatic amino acids such as methionine decreased while the ratio of branched chain amino acids and aromatic amino acids (BCAA/ AAA ratio) increased; patients treated with ALSS in the early or middle stages of disease had much higher survival rates than patients in the end stage of disease.","After each ALSS treatment, the liver function of these patients was greatly improved, the serum endotoxin and HBV-DNA concentrations were significantly decreased, and the serum concentration of AAA such as methionine decreased while the ratio of branched chain amino acids and (BCAA/ AAA ratio) increased; patients treated with ALSS in the early or middle stages of disease had much higher survival rates than patients in the end stage of disease.","After each ALSS treatment, the liver function of these patients was greatly improved, the serum endotoxin and HBV-DNA concentrations were significantly decreased, and the serum concentration of abdominal aortic aneurysm such as methionine decreased while the ratio of branched chain amino acids and abdominal aortic aneurysm (BCAA/ AAA ratio) increased; patients treated with ALSS in the early or middle stages of disease had much higher survival rates than patients in the end stage of disease."
AAA,Screening for abdominal aortic aneurysm reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for AAA reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for aromatic amino acids reduced mortality caused by AAA in Danish men 64 to 73 years of age.,"A marked decrease in BCAA (branch-chainamino acid) was observed at 2, 6 and 12 h after administration of endotoxin, but aromatic amino acids increased in varying degrees.","A marked decrease in BCAA (branch-chainamino acid) was observed at 2, 6 and 12 h after administration of endotoxin, but AAA increased in varying degrees.","A marked decrease in BCAA (branch-chainamino acid) was observed at 2, 6 and 12 h after administration of endotoxin, but abdominal aortic aneurysm increased in varying degrees."
AAA,"abdominal aortic aneurysm is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","AAA is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","aromatic amino acids is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","After each ALSS treatment, the liver function of these patients greatly improved, serum endotoxin and HBV-DNA concentrations were significantly decreased, and the serum concentration of aromatic amino acids such as methionine decreased while BCAA/ AAA ratio increased.","After each ALSS treatment, the liver function of these patients greatly improved, serum endotoxin and HBV-DNA concentrations were significantly decreased, and the serum concentration of AAA such as methionine decreased while BCAA/ AAA ratio increased.","After each ALSS treatment, the liver function of these patients greatly improved, serum endotoxin and HBV-DNA concentrations were significantly decreased, and the serum concentration of abdominal aortic aneurysm such as methionine decreased while BCAA/ AAA ratio increased."
AAA,"OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured AAA, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured aromatic amino acids, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","Both the Unit and the PF-Unit have the capability to selectively remove various amino acids, especially aromatic amino acids.","Both the Unit and the PF-Unit have the capability to selectively remove various amino acids, especially AAA.","Both the Unit and the PF-Unit have the capability to selectively remove various amino acids, especially abdominal aortic aneurysm."
ABG,INTRODUCTION: Determination of arterial blood gas values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of ABG values is essential in the evaluation of patients with TCA poisoning.,INTRODUCTION: Determination of air-bone gap values is essential in the evaluation of patients with TCA poisoning.,"The air-bone gap closure rate did not differ between the 2 groups, except at 4 kHz, where stapedotomy group showed greater closure (P 0.003).","The ABG closure rate did not differ between the 2 groups, except at 4 kHz, where stapedotomy group showed greater closure (P 0.003).","The arterial blood gas closure rate did not differ between the 2 groups, except at 4 kHz, where stapedotomy group showed greater closure (P 0.003)."
ABG,"MEASUREMENT AND RESULTS: Changes from baseline in arterial blood gas levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in ABG levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","MEASUREMENT AND RESULTS: Changes from baseline in air-bone gap levels and Kelly score, the rate and causes of NPPV failure, the rate of nosocomial pneumonia, and the 90-day mortality rate were compared.","OBJECTIVE: Manual piston malcrimping in stapedotomy may be the major cause of the occurrence of the significant, interindividual variations of postoperative air-bone gap, air-bone gap closures ( ABG C), and postoperative recurrences of conductive hearing loss.","OBJECTIVE: Manual piston malcrimping in stapedotomy may be the major cause of the occurrence of the significant, interindividual variations of postoperative ABG, closures ( ABG C), and postoperative recurrences of conductive hearing loss.","OBJECTIVE: Manual piston malcrimping in stapedotomy may be the major cause of the occurrence of the significant, interindividual variations of postoperative arterial blood gas, arterial blood gas closures ( ABG C), and postoperative recurrences of conductive hearing loss."
ABG,At that time arterial blood gas analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time ABG analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time air-bone gap analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,"The effects of the self-crimping Nitinol piston on the postoperative ABG C, the postoperative air-bone gap variations, and the postoperative short-term hearing results were investigated 3, 6 and 9 months postoperatively.","The effects of the self-crimping Nitinol piston on the postoperative ABG C, the postoperative ABG variations, and the postoperative short-term hearing results were investigated 3, 6 and 9 months postoperatively.","The effects of the self-crimping Nitinol piston on the postoperative ABG C, the postoperative arterial blood gas variations, and the postoperative short-term hearing results were investigated 3, 6 and 9 months postoperatively."
ABG,"Then the arterial blood gas sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the ABG sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the air-bone gap sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","When reporting the results of tympanoplasty, the postoperative air-bone gap presented in 10 dB bins, ABG closure and air conduction threshold gain are commonly reported indicators of tympanoplasty outcome.","When reporting the results of tympanoplasty, the postoperative ABG presented in 10 dB bins, ABG closure and air conduction threshold gain are commonly reported indicators of tympanoplasty outcome.","When reporting the results of tympanoplasty, the postoperative arterial blood gas presented in 10 dB bins, ABG closure and air conduction threshold gain are commonly reported indicators of tympanoplasty outcome."
ABG,"All subjects also underwent blood pressure, simple spirometric, and arterial blood gas measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.","All subjects also underwent blood pressure, simple spirometric, and ABG measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.","All subjects also underwent blood pressure, simple spirometric, and air-bone gap measurements; cardiac evaluation by radionuclide scanning and CPET; and an overnight polysomnography sleep study before and after nasal CPAP treatment.",RESULTS: All patients of both groups showed a significant air-bone gap improvement for all frequencies after surgery ( P<0. 001).,RESULTS: All patients of both groups showed a significant ABG improvement for all frequencies after surgery ( P<0. 001).,RESULTS: All patients of both groups showed a significant arterial blood gas improvement for all frequencies after surgery ( P<0. 001).
