ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
AAA,OBJECTIVE: abdominal aortic aneurysm represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: AAA represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: aromatic amino acids represents a chronic degenerative condition associated with atherosclerosis.,represents,abdominal aortic aneurysm,aromatic amino acids
AAA,"METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an abdominal aortic aneurysm between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an AAA between April 1, 2003 and March 31, 2004.","METHODS: The Canadian Institute for Health Information database (a collection of all acute care hospitalizations) was reviewed to identify patients who received nonemergent repair of an aromatic amino acids between April 1, 2003 and March 31, 2004.",between,abdominal aortic aneurysm,aromatic amino acids
AAA,Screening for abdominal aortic aneurysm reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for AAA reduced mortality caused by AAA in Danish men 64 to 73 years of age.,Screening for aromatic amino acids reduced mortality caused by AAA in Danish men 64 to 73 years of age.,reduced,abdominal aortic aneurysm,aromatic amino acids
AAA,"abdominal aortic aneurysm is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","AAA is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","aromatic amino acids is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.",is,abdominal aortic aneurysm,aromatic amino acids
AAA,"OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured abdominal aortic aneurysm, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured AAA, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.","OBJECTIVE: To evaluate the results of our experience in the management of patients with symptomatic, unruptured aromatic amino acids, to identify the predictors of immediate outcome and to define the worldwide postoperative mortality rate through a review of previous studies on this condition.",identify,abdominal aortic aneurysm,aromatic amino acids
AVR,It has been suggested that LV mass and diastolic function normalize after aortic valve replacement therefore.,It has been suggested that LV mass and diastolic function normalize after AVR therefore.,It has been suggested that LV mass and diastolic function normalize after acute vascular rejection therefore.,therefore,aortic valve replacement,acute vascular rejection
AVR,"aortic valve replacement is effective treatment for symptomatic AS, however, generally has a higher risk in elderly patients, especially 80 years and over patients.","AVR is effective treatment for symptomatic AS, however, generally has a higher risk in elderly patients, especially 80 years and over patients.","acute vascular rejection is effective treatment for symptomatic AS, however, generally has a higher risk in elderly patients, especially 80 years and over patients.",is,aortic valve replacement,acute vascular rejection
AVR,A 74-year-old woman with a history of aortic valve replacement with a tilting prosthesis at the age of 59 was referred to our hospital with chest pain at rest.,A 74-year-old woman with a history of AVR with a tilting prosthesis at the age of 59 was referred to our hospital with chest pain at rest.,A 74-year-old woman with a history of acute vascular rejection with a tilting prosthesis at the age of 59 was referred to our hospital with chest pain at rest.,tilting,aortic valve replacement,acute vascular rejection
AVR,METHODS: aortic valve replacement was performed in 163 replacements with porcine bioprostheses (Carpentier-Edwards supra-annular) with atrial fibrillation/paced rhythm identified at latest follow-up.,METHODS: AVR was performed in 163 replacements with porcine bioprostheses (Carpentier-Edwards supra-annular) with atrial fibrillation/paced rhythm identified at latest follow-up.,METHODS: acute vascular rejection was performed in 163 replacements with porcine bioprostheses (Carpentier-Edwards supra-annular) with atrial fibrillation/paced rhythm identified at latest follow-up.,was,aortic valve replacement,acute vascular rejection
AVR,Bleeding from suture holes in aortic valve replacement may represent a difficult problem especially if the aortic wall is friable.,Bleeding from suture holes in AVR may represent a difficult problem especially if the aortic wall is friable.,Bleeding from suture holes in acute vascular rejection may represent a difficult problem especially if the aortic wall is friable.,may,aortic valve replacement,acute vascular rejection
