ABBR,Sentence_A,Sentence_B,Sentence_C,target,Primary_Expression,Alternative_Expression
AAA,OBJECTIVE: abdominal aortic aneurysm represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: AAA represents a chronic degenerative condition associated with atherosclerosis.,OBJECTIVE: aromatic amino acids represents a chronic degenerative condition associated with atherosclerosis.,represents,abdominal aortic aneurysm,aromatic amino acids
AAA,"abdominal aortic aneurysm is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","AAA is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.","aromatic amino acids is characterized by dilatation of arterial walls, which is accompanied by degradation of elastin and collagen molecules.",is,abdominal aortic aneurysm,aromatic amino acids
ABG,At that time arterial blood gas analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time ABG analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,At that time air-bone gap analysis revealed a PCO2 of 17.5 kPa (134 mmHg) and pH of 6.9.,analysis,arterial blood gas,air-bone gap
ABG,"Then the arterial blood gas sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the ABG sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.","Then the air-bone gap sample was obtained, an intravenous infusion of methylene blue and vitamin C followed.",sample,arterial blood gas,air-bone gap
ABR,Auditory brainstem response thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,ABR thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,auditory brain stem response thresholds were used to evaluate auditory function in mice carrying the Frings Mgr1 allele and were compared with other AGS-susceptible and -resistant mice.,thresholds,Auditory brainstem response,auditory brain stem response
ABR,"The Auditory brainstem response, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The ABR, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).","The auditory brain stem response, a measure of neural synchrony, was used to estimate auditory sensitivity in the eastern screech owl (Megascops asio).",a,Auditory brainstem response,auditory brain stem response
ADA,Characterization of Adenosine deaminase in hemolymph of Biomphalaria glabrata.,Characterization of ADA in hemolymph of Biomphalaria glabrata.,Characterization of Americans with Disabilities Act in hemolymph of Biomphalaria glabrata.,in,Adenosine deaminase,Americans with Disabilities Act
ADA,Adenosine deaminase is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,ADA is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,Americans with Disabilities Act is a key enzyme for the control of extra- and intra-cellular levels of adenosine.,is,Adenosine deaminase,Americans with Disabilities Act
ALD,BACKGROUND: alcoholic liver disease is a serious and potentially fetal consequence of alcohol use.,BACKGROUND: ALD is a serious and potentially fetal consequence of alcohol use.,BACKGROUND: anterior latissimus dorsi is a serious and potentially fetal consequence of alcohol use.,is,alcoholic liver disease,anterior latissimus dorsi
ALD,"alcoholic liver disease is a major complication of heavy alcohol (EtOH) drinking and is characterized by three progressive stages of pathology: steatosis, steatohepatitis, and fibrosis/cirrhosis.","ALD is a major complication of heavy alcohol (EtOH) drinking and is characterized by three progressive stages of pathology: steatosis, steatohepatitis, and fibrosis/cirrhosis.","anterior latissimus dorsi is a major complication of heavy alcohol (EtOH) drinking and is characterized by three progressive stages of pathology: steatosis, steatohepatitis, and fibrosis/cirrhosis.",is,alcoholic liver disease,anterior latissimus dorsi
